ds,y,returns,log_returns,volatility,volume_norm,ma7
2017-02-24,1173.6800537109375,0.005965512875911516,0.005947789654450197,68.4300537109375,-0.925860069864649,1107.9157191685267
2017-02-25,1143.8399658203125,-0.025424380176076733,-0.02575316445722109,50.260009765625,-0.9342209801882964,1120.6899937220983
2017-02-26,1165.199951171875,0.01867392816288249,0.01850171104290599,37.27001953125,-0.9352496717180885,1137.451416015625
2017-02-27,1179.969970703125,0.012675952755057507,0.012596285399297358,18.5999755859375,-0.9345886796702367,1151.7357003348213
2017-02-28,1179.969970703125,0.0,0.0,21.4300537109375,-0.9322492656244521,1160.9742606026787
2017-03-01,1222.5,0.03604331495955959,0.03540895276981093,42.81005859375,-0.930316727503637,1175.9828404017858
2017-03-02,1251.010009765625,0.023321071382924385,0.02305329049724314,46.510009765625,-0.9242160909686528,1188.0242745535713
2017-03-03,1274.989990234375,0.019168496080413044,0.018987094918869296,29.60009765625,-0.9265182573851166,1202.4971226283483
2017-03-04,1255.1500244140625,-0.015560879671428163,-0.01568322097796848,48.8900146484375,-0.9323231473927283,1218.3985595703125
2017-03-05,1267.1199951171875,0.00953668523307627,0.009491498113520791,29.22998046875,-0.9344766300370918,1232.9585658482142
2017-03-06,1272.8299560546875,0.004506251151827012,0.004496128401150656,11.4000244140625,-0.9336208113280884,1246.2242780412946
2017-03-07,1223.5400390625,-0.03872466762564919,-0.039494404934135474,70.75,-0.927591120922341,1252.4485735212054
2017-03-08,1150.0,-0.06010431756597667,-0.06198638601041129,84.080078125,-0.9257792644193932,1242.0914306640625
2017-03-09,1188.489990234375,0.033469556725543415,0.032921643223535746,56.22998046875,-0.9310517759015946,1233.1599993024554
2017-03-10,1116.719970703125,-0.06038756751926588,-0.062287794611084024,193.219970703125,-0.9156482177421646,1210.5499965122767
2017-03-11,1175.8299560546875,0.052931788543501,0.05157845284233975,77.510009765625,-0.9279388823179755,1199.2185581752233
2017-03-12,1221.3800048828125,0.03873863613830775,0.03800712718862531,51.6199951171875,-0.9303991539657208,1192.6842738560267
2017-03-13,1231.9200439453125,0.008629614878549852,0.008592592591656789,20.3399658203125,-0.9236901551437757,1186.8400006975446
2017-03-14,1240.0,0.006558831552744948,0.006537416006713315,24.090087890625,-0.9296046839426797,1189.1914236886162
2017-03-15,1249.6099853515625,0.007749988186743995,0.007720111292730536,11.8599853515625,-0.9273041392441757,1203.421421595982
2017-03-16,1187.81005859375,-0.049455372061888436,-0.05072016609052099,105.5400390625,-0.9123716519404066,1203.3242885044642
2017-03-17,1100.22998046875,-0.07373239306348878,-0.07659209371416775,80.590087890625,-0.9093904842034936,1200.9685756138392
2017-03-18,973.8179931640624,-0.11489596679671477,-0.12205008924073013,156.4149169921875,-0.9131282601426298,1172.1097237723213
2017-03-19,1036.739990234375,0.0646137137658247,0.06261202328713988,93.1800537109375,-0.922534558048719,1145.7325788225446
2017-03-20,1054.22998046875,0.016870179986421707,0.016729458954285903,26.3499755859375,-0.9277982184424961,1120.3482840401787
2017-03-21,1120.5400390625,0.06289904463186113,0.06100012272536581,67.070068359375,-0.9255694507144665,1103.2825753348213
2017-03-22,1049.1400146484375,-0.06371929777163454,-0.0658399519210997,106.44000244140625,-0.9236654402462029,1074.644008091518
2017-03-23,1038.5899658203125,-0.01005590167262882,-0.010106803783773266,29.0799560546875,-0.9294629676682994,1053.3268519810267
2017-03-24,937.52001953125,-0.09731457997404602,-0.10238115832507777,106.11199951171875,-0.9188365250671435,1030.0825718470983
2017-03-25,972.7789916992188,0.037608767208616944,0.03691880349154797,72.04797363281261,-0.9212569640124518,1029.9341430664062
2017-03-26,966.7249755859376,-0.006223423989354604,-0.006242870215820595,53.7740478515625,-0.9270472178927774,1019.9319981166296
2017-03-27,1045.77001953125,0.0817658030376247,0.07859470878677666,74.41601562500011,-0.9240294146146453,1018.7234322684152
2017-03-28,1047.1500244140625,0.0013196064689549036,0.0013187365535509699,36.9200439453125,-0.9260540646328654,1008.2391444614956
2017-03-29,1039.969970703125,-0.006856757430679705,-0.0068803730046616,39.250000000000114,-0.9272755246512752,1006.9291381835938
2017-03-30,1026.4300537109375,-0.013019526884062937,-0.013105023821427864,29.25006103515625,-0.9248868119220002,1005.1920078822544
2017-03-31,1071.7900390625,0.044191988716200115,0.0432433697911625,48.280029296875,-0.9207537266299585,1024.3734392438616
2017-04-01,1080.5,0.008126555220758114,0.008093712582577517,30.6300048828125,-0.9276621988643649,1039.7621547154017
2017-04-02,1102.1700439453125,0.020055570518567878,0.019857106712705352,32.1400146484375,-0.9178221190987145,1059.1114501953125
2017-04-03,1143.81005859375,0.03778002757122989,0.037083842797371425,48.7900390625,-0.9149186872518353,1073.1171700613838
2017-04-04,1133.25,-0.009232353321610876,-0.00927523563605881,35.919921875,-0.9212347465465146,1085.4171665736608
2017-04-05,1124.780029296875,-0.007474053124310598,-0.007502123814714601,21.4599609375,-0.922178032505009,1097.5328892299108
2017-04-06,1182.6800537109375,0.05147675359266213,0.050195608063321906,62.5599365234375,-0.9179520472433673,1119.8543178013392
2017-04-07,1176.9000244140625,-0.004887229879914523,-0.004899211441568241,23.18994140625,-0.9264620350246465,1134.8700299944196
2017-04-08,1175.949951171875,-0.0008072675864378986,-0.0008075936023832497,22.4000244140625,-0.9311819676718216,1148.5057373046875
2017-04-09,1187.8699951171875,0.010136523185730661,0.010085493189349037,25.3499755859375,-0.9297345244458518,1160.7485874720983
2017-04-10,1187.1300048828125,-0.0006229555737722325,-0.0006231496912176837,11.2999267578125,-0.9308940212362362,1166.9371512276787
2017-04-11,1205.010009765625,0.015061539013646152,0.014949240225947236,20.6099853515625,-0.9308809191854293,1177.1885811941963
2017-04-12,1200.3699951171875,-0.0038506025766043006,-0.0038580352329784517,10.3800048828125,-0.9277030383921329,1187.9871477399554
2017-04-13,1169.280029296875,-0.02590031902395007,-0.026241638711645088,49.4500732421875,-0.9249306326623775,1186.0728585379463
2017-04-14,1167.5400390625,-0.001488086848982828,-0.0014891951498530176,31.010009765625,-0.9291874663229811,1184.7357177734375
2017-04-15,1172.52001953125,0.004265361616847763,0.004256290746533331,23.0400390625,-0.9314340680406465,1184.2457275390625
2017-04-16,1182.93994140625,0.008886775237463063,0.008847520245842233,14.6099853515625,-0.9323248560510371,1183.5414341517858
2017-04-17,1193.9100341796875,0.009273583881525216,0.0092308482079142,22.25,-0.9292585000936987,1184.510009765625
2017-04-18,1211.6700439453125,0.014875500881293524,0.014765945740239594,23.7999267578125,-0.928499612511844,1185.4614432198662
2017-04-19,1210.2900390625,-0.0011389279529591123,-0.0011395770242774717,10.4300537109375,-0.9277311285384124,1186.8785923549108
2017-04-20,1229.0799560546875,0.015525135616866192,0.015405853693440719,32.3800048828125,-0.9265459086228607,1195.4214390345983
2017-04-21,1222.050048828125,-0.005719650045492797,-0.005736069884235917,20.3798828125,-0.928427614684838,1203.2085832868304
2017-04-22,1231.7099609375,0.00790467797831873,0.007873599679879106,27.090087890625,-0.929428787490805,1211.6642892020088
2017-04-23,1207.2099609375,-0.019891046412705893,-0.02009153636734684,28.260009765625,-0.929006749589665,1215.1314348493304
2017-04-24,1250.1500244140625,0.03556967293677382,0.034951683932622934,41.3099365234375,-0.9300209809762644,1223.1657191685267
2017-04-25,1265.489990234375,0.012270499956597014,0.012195827596242381,17.6099853515625,-0.9297251909787173,1230.854282924107
2017-04-26,1281.0799560546875,0.01231931184017121,0.012244046631327166,28.89990234375,-0.9259094996597946,1240.9671282087054
2017-04-27,1317.72998046875,0.028608693970150645,0.028207106559154482,38.39990234375,-0.9206700297169695,1253.6314174107142
2017-04-28,1316.47998046875,-0.0009486010173004322,-0.0009490512239791471,38.9100341796875,-0.917239216311347,1267.1214076450892
2017-04-29,1321.7900390625,0.004033527795735514,0.004025414930822535,11.989990234375,-0.9218308853008715,1279.989990234375
2017-04-30,1347.8900146484375,0.019745931513033055,0.019553509516994083,32.989990234375,-0.9222511689701328,1300.0871407645088
2017-05-01,1421.5999755859375,0.0546854417915732,0.05324256303040009,86.0198974609375,-0.909082642450645,1324.5799909319196
2017-05-02,1452.8199462890625,0.021961150280870756,0.021723477635178234,58.2100830078125,-0.9194368706125767,1351.3414132254463
2017-05-03,1490.0899658203125,0.025653570923533042,0.025330039559928963,45.280029296875,-0.9147718029346179,1381.199986049107
2017-05-04,1537.6700439453125,0.031931010352657774,0.031431814391310375,118.1900634765625,-0.8994453664737246,1412.6199951171875
2017-05-05,1555.449951171875,0.011562888473097388,0.011496549171071457,87.719970703125,-0.8988981779403306,1446.7585623604912
2017-05-06,1578.800048828125,0.01501179619354387,0.014900234291777892,36.300048828125,-0.9148272792908038,1483.4742780412946
2017-05-07,1596.7099609375,0.011344002758720828,0.01128014206288519,36.9599609375,-0.8930264623553412,1519.019984654018
2017-05-08,1723.3499755859375,0.07931309865072889,0.07632481902191035,126.429931640625,-0.8816203597391281,1562.1271275111608
2017-05-09,1755.3599853515625,0.018574294379609002,0.018403898923351925,117.18994140625,-0.8891750553801814,1605.347133091518
2017-05-10,1787.1300048828125,0.018098862795306925,0.017937028143165,69.3399658203125,-0.9002265142905592,1647.7814243861608
2017-05-11,1848.5699462890625,0.034379111334029044,0.03380135427898434,118.58007812499977,-0.9053199314585362,1692.1956961495537
2017-05-12,1724.239990234375,-0.06725737173444557,-0.06962597013852267,162.1400146484375,-0.907883706993921,1716.308558872768
2017-05-13,1804.9100341796875,0.04678585603060226,0.04572437995723799,161.9100341796875,-0.9149541392824984,1748.6099853515625
2017-05-14,1808.9100341796875,0.002216176941925996,0.0022137248439948465,54.800048828125,-0.9211959220716721,1778.924281529018
2017-05-15,1738.4300537109375,-0.03896267870541803,-0.03974203487147232,104.260009765625,-0.908298031042491,1781.078578404018
2017-05-16,1734.449951171875,-0.0022894809777168623,-0.0022921058464477895,99.39990234375,-0.8983281128770639,1778.0914306640625
2017-05-17,1839.0899658203125,0.06033037423636123,0.05858053337167224,202.1400146484375,-0.8936969182808508,1785.5142822265625
2017-05-18,1888.6500244140625,0.02694814256769873,0.026591435579729428,97.3599853515625,-0.9011643650749832,1791.2400076729912
2017-05-19,1987.7099609375,0.05245012852721076,0.05112090162962346,114.27001953125,-0.8896408705515243,1828.8785749162946
2017-05-20,2084.72998046875,0.048809947848473145,0.04765613840375238,109.8099365234375,-0.8982277192102935,1868.8528529575892
2017-05-21,2041.199951171875,-0.020880416027349136,-0.021101494807389543,81.580078125,-0.8900541008344145,1902.0371268136162
2017-05-22,2173.39990234375,0.06476580165308032,0.06275487042773875,286.0299072265625,-0.855244654703744,1964.1756766183037
2017-05-23,2320.419921875,0.06764517628472633,0.06545545339360448,142.320068359375,-0.8799363307898225,2047.8856724330358
2017-05-24,2443.639892578125,0.05310244475213688,0.051740516883191034,202.349853515625,-0.8647467468516936,2134.2499476841517
2017-05-25,2304.97998046875,-0.05674318565944014,-0.05841669584305009,478.409912109375,-0.8348907972132775,2193.725655691964
2017-05-26,2202.419921875,-0.04449498887747083,-0.045515270812653164,501.800048828125,-0.8630771724365259,2224.398507254464
2017-05-27,2038.8699951171875,-0.07425919332339515,-0.07716098991381948,404.3699951171875,-0.8658378818848256,2217.84708077567
2017-05-28,2155.800048828125,0.0573504215526095,0.05576617659363858,213.260009765625,-0.8900856517674861,2234.218523297991
2017-05-29,2255.610107421875,0.046298384049117125,0.04525858696050733,199.880126953125,-0.8967689695321746,2245.9628383091517
2017-05-30,2175.469970703125,-0.03552925058061074,-0.03617577429230323,177.389892578125,-0.8770783378956214,2225.255702427455
2017-05-31,2286.409912109375,0.050995850505991314,0.0497381437480966,165.510009765625,-0.872658582227954,2202.794276646205
2017-06-01,2407.8798828125,0.05312694371196991,0.05176378021810457,160.059814453125,-0.8679106015024101,2217.4942626953125
2017-06-02,2488.550048828125,0.033502570701906764,0.032953587511441285,115.22998046875,-0.8826409440813845,2258.3699951171875
2017-06-03,2515.35009765625,0.010769342911445712,0.010711766542318202,158.33984375,-0.8739679431459015,2326.4385811941966
2017-06-04,2511.81005859375,-0.0014073742918723209,-0.0014083655732486378,133.349853515625,-0.8809718127815435,2377.2971540178573
2017-06-05,2686.81005859375,0.06967087316227039,0.06735100598126653,176.590087890625,-0.8803499985789845,2438.897147042411
2017-06-06,2863.199951171875,0.06565030230326219,0.0635852253047613,309.06982421875,-0.8487859178829236,2537.144287109375
2017-06-07,2732.159912109375,-0.045766988438535994,-0.04684739043749975,168.81982421875,-0.8738470007069874,2600.8228585379466
